TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691483780212,(08/08/2023)_15/36/20,-50,-46,-54,-40,-29,-41,-50,-38
1691483882317,(08/08/2023)_15/38/02,-51,-45,-55,-41,-31,-41,-49,-37
1691483660056,(08/08/2023)_15/34/20,-50,-46,-54,-41,-29,-44,-51,-36
1691483920376,(08/08/2023)_15/38/40,-49,-45,-54,-43,-31,-47,-46,-37
1691483658133,(08/08/2023)_15/34/18,-53,-51,-55,-40,-27,-47,-47,-38
1691483864255,(08/08/2023)_15/37/44,-50,-45,-54,-41,-31,-43,-49,-38
1691483766192,(08/08/2023)_15/36/06,-50,-45,-54,-40,-32,-42,-49,-38
1691483832328,(08/08/2023)_15/37/12,-49,-41,-54,-41,-31,-43,-50,-38
1691483764239,(08/08/2023)_15/36/04,-50,-43,-54,-41,-31,-43,-49,-38
1691483710163,(08/08/2023)_15/35/10,-52,-44,-54,-42,-31,-43,-49,-38
1691483934453,(08/08/2023)_15/38/54,-49,-45,-55,-40,-31,-44,-47,-33
1691483928385,(08/08/2023)_15/38/48,-48,-44,-54,-40,-33,-46,-46,-37
1691483662005,(08/08/2023)_15/34/22,-49,-45,-50,-40,-31,-43,-48,-37
1691483758188,(08/08/2023)_15/35/58,-50,-45,-54,-41,-31,-43,-50,-37
1691483912300,(08/08/2023)_15/38/32,-49,-44,-53,-41,-32,-44,-48,-39
1691483898362,(08/08/2023)_15/38/18,-47,-47,-54,-41,-31,-48,-50,-39
1691483676090,(08/08/2023)_15/34/36,-51,-47,-53,-41,-31,-46,-49,-36
1691483772224,(08/08/2023)_15/36/12,-50,-44,-54,-41,-33,-43,-49,-38
1691483784232,(08/08/2023)_15/36/24,-51,-46,-54,-41,-33,-42,-50,-38
1691483810291,(08/08/2023)_15/36/50,-49,-45,-54,-41,-32,-43,-49,-38
1691483874320,(08/08/2023)_15/37/54,-50,-44,-54,-41,-31,-43,-50,-39
1691483862213,(08/08/2023)_15/37/42,-50,-46,-55,-40,-32,-42,-49,-40
1691483712198,(08/08/2023)_15/35/12,-50,-47,-55,-40,-32,-44,-48,-39
1691483740166,(08/08/2023)_15/35/40,-50,-45,-55,-41,-31,-43,-50,-37
1691483818291,(08/08/2023)_15/36/58,-49,-43,-54,-41,-32,-42,-50,-38
1691483698180,(08/08/2023)_15/34/58,-55,-50,-53,-41,-33,-43,-46,-39
1691483904427,(08/08/2023)_15/38/24,-49,-44,-53,-41,-32,-47,-51,-38
1691483664145,(08/08/2023)_15/34/24,-51,-43,-52,-39,-31,-44,-47,-37
1691483782248,(08/08/2023)_15/36/22,-51,-44,-54,-41,-33,-43,-49,-38
1691483732275,(08/08/2023)_15/35/32,-51,-45,-54,-42,-29,-42,-49,-39
1691483702073,(08/08/2023)_15/35/02,-52,-50,-54,-41,-31,-43,-51,-38
1691483806323,(08/08/2023)_15/36/46,-50,-46,-54,-41,-32,-42,-49,-38
1691483742212,(08/08/2023)_15/35/42,-50,-46,-53,-41,-31,-42,-50,-39
1691483750216,(08/08/2023)_15/35/50,-50,-45,-54,-41,-31,-42,-50,-39
1691483820235,(08/08/2023)_15/37/00,-50,-42,-55,-41,-31,-43,-49,-38
1691483792206,(08/08/2023)_15/36/32,-50,-44,-54,-40,-32,-40,-49,-38
