Wifi_A
-49
-52
-50
-55
-50
-52
-52
-50
-58
-50
-49
-50
-48
-47
-49
-51
-50
-51
-49
-51
-47
-52
-48
-49
-48
-50
-48
-50
-51
-48
-49
-52
-50
-55
-50
-52
-52
-50
-58
-50
