Wifi_B
-45
-48
-47
-47
-43
-44
-46
-42
-45
-45
-46
-44
-45
-47
-44
-47
-45
-47
-44
-44
-45
-45
-44
-44
-43
-44
-46
-47
-45
-42
-45
-48
-47
-47
-43
-44
-46
-42
-45
-45
