x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,0,-38.05,-46.81,-25.57,-33.07,-43.64,-56.07,-45.62,-49.4
0,1,-41.48,-47.38,-25.43,-49.9,-39.55,-50.38,-50.67,-50.57
0,2,-44.17,-50.26,-30.36,-46.71,-43.14,-53.57,-43.43,-50.48
0,3,-39.81,-51.67,-32.02,-51.21,-46.67,-49.93,-46.26,-49.6
0,4,-33.83,-32.36,-33.67,-47.26,-48.62,-51.24,-41.55,-47.64
0,5,-21.36,-34.9,-38.29,-50.6,-46.33,-53.33,-43.36,-49.33
1,0,-45.26,-48.24,-29.1,-37.57,-38.4,-47.38,-40.74,-47.76
1,1,-41.9,-40.6,-35.62,-38.24,-46.33,-54.62,-40.62,-57.48
1,2,-38.0,-47.71,-35.38,-44.19,-43.38,-49.83,-42.38,-49.98
1,3,-34.79,-40.0,-38.26,-52.86,-43.62,-54.19,-47.14,-61.31
1,4,-29.17,-38.52,-30.57,-48.9,-46.02,-52.26,-49.33,-49.14
1,5,-29.33,-38.0,-41.76,-51.43,-45.69,-53.43,-48.67,-51.48
2,0,-44.67,-47.69,-36.1,-49.12,-42.07,-52.86,-43.48,-44.95
2,1,-40.21,-51.64,-36.55,-53.17,-39.0,-52.36,-49.17,-54.62
2,2,-33.88,-44.98,-38.83,-50.14,-38.31,-47.43,-43.05,-53.05
2,3,-35.95,-44.07,-39.17,-48.19,-39.86,-53.19,-40.93,-43.81
2,4,-34.05,-39.88,-51.5,-51.29,-37.1,-51.17,-43.0,-43.31
2,5,-32.38,-33.95,-36.6,-53.86,-42.38,-51.26,-39.31,-51.86
3,0,-34.79,-50.02,-37.33,-45.67,-45.93,-50.95,-42.4,-50.62
3,1,-36.36,-50.4,-38.21,-43.64,-36.24,-51.4,-39.07,-48.48
3,2,-42.31,-42.71,-39.98,-41.86,-38.17,-41.33,-40.43,-55.6
3,3,-38.33,-52.86,-46.88,-43.64,-40.31,-51.29,-43.55,-43.02
3,4,-37.6,-45.64,-36.95,-49.31,-36.45,-45.4,-45.43,-49.76
3,5,-38.55,-48.14,-37.98,-50.9,-37.9,-52.93,-45.02,-48.36
4,0,-39.71,-51.69,-45.4,-49.93,-37.79,-49.6,-43.74,-49.12
4,1,-43.6,-47.05,-38.71,-47.12,-43.95,-50.83,-38.12,-46.14
4,2,-44.07,-46.26,-48.81,-55.9,-36.95,-53.71,-46.24,-49.24
4,3,-39.55,-50.88,-39.93,-48.86,-32.67,-50.24,-40.69,-47.52
4,4,-36.02,-58.71,-38.33,-40.4,-33.19,-50.74,-42.9,-45.62
4,5,-43.62,-43.55,-39.05,-56.24,-42.29,-52.81,-42.12,-55.45
5,0,-41.26,-42.95,-41.07,-51.33,-40.98,-42.52,-48.71,-37.64
5,1,-43.71,-49.98,-42.12,-45.21,-45.07,-53.62,-42.88,-45.24
5,2,-44.12,-52.02,-44.45,-55.88,-37.6,-51.26,-38.21,-40.79
5,3,-36.67,-55.76,-49.83,-47.9,-41.1,-45.71,-38.4,-45.5
5,4,-40.5,-47.02,-41.4,-51.02,-35.86,-42.12,-43.9,-48.14
5,5,-42.24,-50.17,-44.21,-53.14,-35.1,-40.02,-46.71,-42.57
6,0,-44.29,-57.55,-40.1,-43.14,-41.88,-50.62,-38.26,-42.43
6,1,-41.12,-53.12,-46.29,-51.9,-39.79,-45.5,-34.57,-36.4
6,2,-47.1,-44.9,-45.43,-45.24,-39.74,-47.36,-44.31,-41.12
6,3,-40.98,-48.38,-39.26,-50.0,-39.31,-53.05,-37.81,-44.26
6,4,-41.45,-45.17,-47.6,-44.69,-33.93,-42.55,-46.55,-49.26
6,5,-48.14,-52.31,-49.05,-45.67,-30.48,-46.71,-41.83,-49.33
