x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,0,0.595,0.405,0.46,0.835,0.38,0.435,0.535,0.41000000000000003
0,1,0.385,0.655,0.715,0.385,0.545,0.41000000000000003,0.54,0.32
0,2,0.68,0.3,0.79,0.475,0.62,0.67,0.51,0.475
0,3,0.46,0.46499999999999997,0.5800000000000001,0.545,0.665,0.445,0.76,0.625
0,4,0.39,0.555,0.45,0.315,0.515,0.485,0.385,0.345
0,5,0.55,0.63,0.48,0.54,0.5,0.63,0.485,0.375
1,0,0.725,0.525,0.545,0.62,0.525,0.715,0.52,0.455
1,1,0.78,0.565,0.595,0.49,0.45499999999999996,0.42,0.495,0.585
1,2,0.5549999999999999,0.725,0.515,0.39,0.395,0.425,0.67,0.5
1,3,0.5700000000000001,0.59,0.55,0.415,0.355,0.42,0.38,0.435
1,4,0.5700000000000001,0.62,0.44999999999999996,0.635,0.79,0.41,0.6,0.695
1,5,0.365,0.54,0.58,0.47,0.59,0.375,0.7,0.72
2,0,0.61,0.6,0.645,0.85,0.75,0.38,0.495,0.63
2,1,0.585,0.345,0.45,0.33999999999999997,0.42,0.345,0.575,0.435
2,2,0.505,0.53,0.35,0.405,0.69,0.5800000000000001,0.41000000000000003,0.485
2,3,0.535,0.7,0.4,0.33,0.53,0.8,0.34,0.42
2,4,0.605,0.44,0.54,0.46499999999999997,0.505,0.49,0.485,0.59
2,5,0.47,0.88,0.365,0.595,0.295,0.45999999999999996,0.475,0.515
3,0,0.61,0.375,0.42,0.44,0.535,0.45499999999999996,0.5700000000000001,0.5
3,1,0.5549999999999999,0.79,0.345,0.855,0.51,0.51,0.525,0.54
3,2,0.555,0.39,0.475,0.78,0.46499999999999997,0.485,0.625,0.445
3,3,0.595,0.38,0.495,0.54,0.46499999999999997,0.23,0.355,0.775
3,4,0.55,0.725,0.435,0.4,0.475,0.525,0.41,0.405
3,5,0.525,0.535,0.5549999999999999,0.45,0.49,0.37,0.46,0.49
4,0,0.41000000000000003,0.63,0.36,0.32,0.69,0.5,0.54,0.55
4,1,0.45,0.805,0.535,0.42,0.4,0.585,0.62,0.515
4,2,0.485,0.56,0.44,0.76,0.53,0.4,0.375,0.48
4,3,0.745,0.91,0.565,0.425,0.53,0.495,0.54,0.41
4,4,0.58,0.67,0.405,0.64,0.455,0.39,0.57,0.485
4,5,0.435,0.84,0.615,0.655,0.54,0.46499999999999997,0.45999999999999996,0.355
5,0,0.63,0.515,0.5,0.86,0.565,0.69,0.4,0.56
5,1,0.555,0.615,0.635,0.505,0.395,0.54,0.555,0.73
5,2,0.48,0.43,0.425,0.395,0.54,0.45,0.59,0.52
5,3,0.46499999999999997,0.38,0.375,0.475,0.405,0.485,0.515,0.58
5,4,0.48,0.565,0.58,0.525,0.595,0.49,0.46499999999999997,0.8
5,5,0.57,0.56,0.395,0.28500000000000003,0.585,0.755,0.425,0.745
6,0,0.4,0.25,0.535,0.77,0.54,0.78,0.66,0.475
6,1,0.55,0.455,0.335,0.575,0.48,0.51,0.605,0.625
6,2,0.52,0.5549999999999999,0.585,0.61,0.415,0.695,0.315,0.56
6,3,0.405,0.55,0.56,0.5700000000000001,0.64,0.325,0.615,0.65
6,4,0.43,0.425,0.525,0.61,0.305,0.63,0.55,0.42
6,5,0.47,0.5,0.505,0.5,0.685,0.785,0.45,0.245
