x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,0,-39.33,-47.6,-25.05,-32.9,-43.81,-55.36,-45.98,-49.07
0,1,-41.74,-46.81,-25.02,-49.76,-39.4,-50.62,-50.6,-50.52
0,2,-43.95,-50.52,-30.19,-46.98,-43.1,-53.33,-43.07,-50.4
0,3,-39.79,-51.67,-31.93,-51.71,-47.45,-50.02,-46.02,-49.74
0,4,-34.0,-32.29,-33.48,-47.57,-48.67,-50.98,-41.88,-47.93
0,5,-21.0,-34.9,-38.19,-50.62,-46.21,-54.29,-43.43,-49.38
1,0,-45.74,-47.88,-28.83,-36.95,-38.62,-46.74,-41.69,-47.86
1,1,-42.1,-40.64,-35.88,-38.24,-46.88,-55.12,-40.52,-57.05
1,2,-38.48,-47.64,-35.26,-44.19,-43.9,-49.71,-41.12,-50.19
1,3,-34.57,-40.07,-38.17,-52.76,-42.93,-53.95,-47.36,-61.45
1,4,-29.12,-38.55,-30.57,-49.1,-45.95,-52.5,-50.21,-49.88
1,5,-29.0,-37.86,-42.33,-51.64,-45.62,-53.38,-48.81,-51.24
2,0,-43.93,-48.5,-36.64,-49.83,-41.64,-52.43,-44.19,-44.31
2,1,-39.1,-51.86,-36.83,-53.45,-39.19,-52.55,-48.93,-54.95
2,2,-34.07,-45.29,-39.02,-50.17,-39.36,-48.0,-43.6,-52.9
2,3,-35.74,-43.83,-38.55,-47.98,-39.48,-53.12,-41.1,-43.69
2,4,-34.24,-39.9,-51.43,-51.17,-36.9,-51.12,-42.5,-43.38
2,5,-32.4,-36.52,-38.12,-53.71,-42.26,-51.29,-38.81,-51.36
3,0,-34.83,-49.4,-37.69,-46.02,-45.83,-50.76,-42.64,-50.21
3,1,-36.07,-50.17,-38.64,-43.79,-36.29,-51.6,-38.83,-48.0
3,2,-42.05,-43.02,-40.24,-43.29,-37.95,-41.29,-39.83,-55.14
3,3,-38.86,-52.4,-46.79,-43.86,-40.6,-50.93,-43.83,-41.55
3,4,-37.76,-44.52,-36.55,-49.21,-35.9,-45.21,-45.52,-49.57
3,5,-39.1,-48.9,-38.19,-51.55,-38.57,-53.02,-44.1,-48.02
4,0,-39.21,-51.43,-45.31,-49.48,-38.12,-49.71,-43.57,-49.33
4,1,-43.95,-47.69,-38.62,-47.57,-43.81,-50.76,-38.76,-45.71
4,2,-43.88,-46.31,-48.93,-55.95,-37.14,-53.52,-46.07,-49.19
4,3,-39.55,-50.4,-40.05,-49.43,-32.38,-50.31,-40.1,-47.5
4,4,-35.93,-59.05,-39.21,-40.29,-33.74,-50.79,-42.38,-45.45
4,5,-43.71,-43.4,-38.6,-56.17,-42.67,-52.79,-43.1,-55.36
5,0,-41.26,-42.79,-41.17,-51.0,-41.14,-42.64,-49.38,-37.64
5,1,-43.67,-50.69,-41.62,-45.48,-45.62,-52.67,-42.55,-46.33
5,2,-44.24,-51.74,-44.26,-55.52,-37.62,-50.98,-38.29,-40.14
5,3,-36.81,-56.1,-49.9,-48.43,-40.88,-45.86,-38.83,-46.4
5,4,-40.1,-47.17,-40.76,-50.55,-36.36,-41.88,-44.07,-48.48
5,5,-42.14,-50.29,-44.14,-52.83,-35.05,-40.1,-46.48,-42.76
6,0,-44.07,-56.62,-40.05,-43.31,-41.52,-49.5,-37.57,-43.26
6,1,-41.31,-52.57,-46.1,-51.69,-39.33,-45.74,-34.98,-36.6
6,2,-47.48,-44.88,-45.4,-45.24,-40.0,-47.17,-44.4,-40.9
6,3,-41.07,-48.24,-39.17,-50.14,-39.4,-53.02,-37.83,-44.12
6,4,-41.74,-45.19,-47.1,-44.64,-33.98,-42.55,-46.74,-48.83
6,5,-47.93,-52.74,-48.26,-45.83,-30.24,-46.9,-42.5,-49.17
