TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691487846989,(08/08/2023)_16/44/06,-48,-41,-52,-43,-40,-36,-51,-41
1691487839008,(08/08/2023)_16/43/59,-47,-41,-51,-42,-40,-35,-51,-41
1691487740961,(08/08/2023)_16/42/20,-48,-41,-50,-42,-35,-36,-51,-40
1691487728966,(08/08/2023)_16/42/08,-48,-42,-52,-42,-39,-35,-50,-39
1691487780860,(08/08/2023)_16/43/00,-48,-42,-51,-43,-39,-36,-51,-40
1691487799016,(08/08/2023)_16/43/19,-47,-40,-50,-43,-38,-35,-51,-40
1691487750966,(08/08/2023)_16/42/30,-48,-42,-51,-41,-39,-36,-51,-35
1691487885112,(08/08/2023)_16/44/45,-47,-39,-51,-43,-39,-33,-51,-40
1691487891080,(08/08/2023)_16/44/51,-48,-42,-51,-41,-39,-34,-51,-41
1691487724996,(08/08/2023)_16/42/04,-47,-41,-51,-42,-40,-35,-51,-40
1691487801062,(08/08/2023)_16/43/21,-47,-42,-51,-42,-39,-37,-52,-41
1691487760880,(08/08/2023)_16/42/40,-46,-41,-50,-43,-40,-34,-50,-40
1691487833012,(08/08/2023)_16/43/53,-48,-39,-51,-42,-40,-36,-51,-40
1691487734910,(08/08/2023)_16/42/14,-47,-41,-51,-44,-39,-36,-51,-40
1691487883067,(08/08/2023)_16/44/43,-51,-41,-48,-43,-40,-34,-50,-36
1691487682879,(08/08/2023)_16/41/22,-52,-43,-47,-41,-38,-33,-50,-41
1691487747003,(08/08/2023)_16/42/27,-47,-41,-50,-43,-40,-36,-51,-40
1691487754973,(08/08/2023)_16/42/34,-47,-42,-51,-41,-40,-34,-50,-41
1691487853063,(08/08/2023)_16/44/13,-48,-41,-52,-44,-36,-35,-50,-40
1691487722938,(08/08/2023)_16/42/02,-47,-42,-52,-42,-35,-33,-51,-40
1691487738992,(08/08/2023)_16/42/18,-45,-42,-47,-43,-39,-38,-51,-40
1691487730923,(08/08/2023)_16/42/10,-49,-42,-50,-42,-39,-35,-51,-39
1691487869035,(08/08/2023)_16/44/29,-47,-41,-51,-44,-39,-36,-50,-40
1691487901063,(08/08/2023)_16/45/01,-48,-43,-51,-42,-39,-36,-50,-40
1691487762961,(08/08/2023)_16/42/42,-46,-42,-51,-42,-37,-36,-51,-40
1691487692809,(08/08/2023)_16/41/32,-52,-48,-52,-43,-39,-36,-51,-40
1691487766922,(08/08/2023)_16/42/46,-48,-41,-51,-43,-39,-35,-51,-40
1691487668862,(08/08/2023)_16/41/08,-46,-40,-48,-41,-39,-34,-52,-40
1691487813052,(08/08/2023)_16/43/33,-47,-41,-51,-42,-39,-34,-51,-40
1691487783025,(08/08/2023)_16/43/03,-48,-41,-52,-42,-40,-36,-51,-40
1691487810983,(08/08/2023)_16/43/30,-47,-41,-51,-35,-39,-33,-50,-40
1691487861278,(08/08/2023)_16/44/21,-49,-41,-51,-43,-39,-34,-51,-41
