TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_15/47/55,-54,-44,-54,-47,-34,-42,-44,-34
"1,69148E+12",(08/08/2023)_15/48/03,-53,-45,-53,-47,-35,-42,-43,-34
"1,69148E+12",(08/08/2023)_15/48/25,-54,-45,-54,-47,-34,-42,-43,-34
"1,69148E+12",(08/08/2023)_15/48/15,-53,-38,-54,-47,-35,-42,-43,-34
"1,69148E+12",(08/08/2023)_15/49/51,-53,-44,-52,-48,-34,-41,-43,-35
"1,69148E+12",(08/08/2023)_15/48/01,-55,-45,-53,-47,-35,-41,-43,-34
"1,69148E+12",(08/08/2023)_15/49/47,-54,-44,-54,-48,-35,-44,-43,-34
"1,69148E+12",(08/08/2023)_15/47/37,-53,-45,-54,-47,-34,-43,-43,-33
"1,69148E+12",(08/08/2023)_15/46/57,-53,-45,-53,-48,-35,-43,-42,-34
"1,69148E+12",(08/08/2023)_15/49/59,-53,-52,-54,-47,-33,-43,-43,-36
"1,69148E+12",(08/08/2023)_15/48/29,-54,-46,-54,-47,-36,-42,-43,-29
"1,69148E+12",(08/08/2023)_15/49/07,-55,-45,-54,-47,-36,-41,-43,-34
"1,69148E+12",(08/08/2023)_15/47/35,-54,-45,-53,-47,-35,-42,-42,-28
"1,69148E+12",(08/08/2023)_15/47/43,-53,-45,-54,-47,-35,-43,-43,-34
"1,69148E+12",(08/08/2023)_15/49/37,-53,-45,-54,-47,-36,-42,-43,-34
"1,69148E+12",(08/08/2023)_15/47/05,-54,-45,-53,-46,-35,-41,-42,-33
"1,69148E+12",(08/08/2023)_15/46/21,-54,-50,-55,-47,-35,-40,-42,-35
"1,69148E+12",(08/08/2023)_15/49/51,-53,-44,-52,-48,-34,-41,-43,-35
"1,69148E+12",(08/08/2023)_15/48/37,-54,-45,-54,-47,-35,-41,-43,-33
"1,69148E+12",(08/08/2023)_15/49/51,-53,-44,-52,-48,-34,-41,-43,-35
"1,69148E+12",(08/08/2023)_15/47/09,-54,-41,-53,-48,-34,-38,-43,-33
"1,69148E+12",(08/08/2023)_15/48/39,-55,-44,-54,-47,-36,-40,-43,-34
"1,69148E+12",(08/08/2023)_15/48/53,-55,-45,-54,-46,-36,-41,-43,-34
"1,69148E+12",(08/08/2023)_15/49/37,-53,-45,-54,-47,-36,-42,-43,-34
"1,69148E+12",(08/08/2023)_15/48/11,-54,-45,-54,-47,-34,-42,-42,-33
"1,69148E+12",(08/08/2023)_15/46/57,-53,-45,-53,-48,-35,-43,-42,-34
"1,69148E+12",(08/08/2023)_15/46/45,-54,-39,-53,-47,-35,-42,-43,-34
"1,69148E+12",(08/08/2023)_15/49/23,-54,-46,-54,-48,-28,-42,-43,-35
"1,69148E+12",(08/08/2023)_15/49/01,-54,-45,-54,-48,-35,-43,-43,-34
"1,69148E+12",(08/08/2023)_15/46/49,-54,-38,-54,-47,-36,-43,-42,-33
"1,69148E+12",(08/08/2023)_15/50/07,-58,-43,-51,-45,-35,-38,-43,-33
"1,69148E+12",(08/08/2023)_15/45/51,-47,-47,-53,-48,-35,-45,-42,-35
"1,69148E+12",(08/08/2023)_15/49/43,-54,-44,-54,-47,-34,-42,-43,-33
"1,69148E+12",(08/08/2023)_15/47/45,-54,-45,-53,-47,-35,-42,-42,-34
"1,69148E+12",(08/08/2023)_15/48/07,-54,-46,-53,-46,-37,-42,-43,-35
"1,69148E+12",(08/08/2023)_15/49/49,-54,-44,-54,-48,-33,-42,-43,-33
"1,69148E+12",(08/08/2023)_15/49/11,-54,-45,-54,-47,-34,-43,-43,-33
"1,69148E+12",(08/08/2023)_15/47/11,-54,-44,-53,-48,-36,-40,-43,-34
"1,69148E+12",(08/08/2023)_15/48/37,-54,-45,-54,-47,-35,-41,-43,-33
"1,69148E+12",(08/08/2023)_15/46/37,-53,-45,-54,-49,-35,-41,-42,-33
"1,69148E+12",(08/08/2023)_15/48/57,-54,-45,-54,-47,-35,-41,-43,-34
"1,69148E+12",(08/08/2023)_15/49/43,-54,-44,-54,-47,-34,-42,-43,-33
"1,69148E+12",(08/08/2023)_15/49/59,-53,-52,-54,-47,-33,-43,-43,-36
"1,69148E+12",(08/08/2023)_15/47/51,-54,-44,-54,-47,-35,-42,-43,-33
"1,69148E+12",(08/08/2023)_15/48/29,-54,-46,-54,-47,-36,-42,-43,-29
"1,69148E+12",(08/08/2023)_15/50/11,-53,-44,-53,-48,-32,-43,-43,-35
"1,69148E+12",(08/08/2023)_15/46/37,-53,-45,-54,-49,-35,-41,-42,-33
"1,69148E+12",(08/08/2023)_15/49/03,-55,-41,-54,-48,-36,-42,-42,-34
"1,69148E+12",(08/08/2023)_15/46/23,-52,-47,-52,-48,-36,-41,-42,-33
"1,69148E+12",(08/08/2023)_15/48/35,-53,-45,-54,-48,-35,-39,-43,-33
"1,69148E+12",(08/08/2023)_15/46/25,-54,-46,-53,-48,-32,-43,-42,-34
"1,69148E+12",(08/08/2023)_15/45/49,-57,-51,-54,-47,-33,-46,-43,-33
"1,69148E+12",(08/08/2023)_15/45/53,-53,-53,-53,-47,-35,-45,-42,-33
"1,69148E+12",(08/08/2023)_15/47/21,-54,-40,-53,-47,-35,-42,-43,-35
"1,69148E+12",(08/08/2023)_15/49/37,-53,-45,-54,-47,-36,-42,-43,-34
"1,69148E+12",(08/08/2023)_15/47/53,-56,-44,-54,-47,-35,-42,-43,-33
"1,69148E+12",(08/08/2023)_15/47/33,-54,-44,-54,-48,-34,-42,-43,-33
"1,69148E+12",(08/08/2023)_15/48/31,-54,-44,-54,-47,-35,-41,-43,-34
"1,69148E+12",(08/08/2023)_15/48/41,-55,-44,-53,-47,-32,-42,-43,-34
"1,69148E+12",(08/08/2023)_15/46/13,-52,-45,-52,-48,-33,-47,-44,-34
"1,69148E+12",(08/08/2023)_15/46/13,-52,-45,-52,-48,-33,-47,-44,-34
