axis,ordinate,combinations,average_error_mean,average_error_median,average_error_max,error_mean_95,error_median_95,error_max_95
6,5,Combination 1,1.74425719005787,0.4045084971874737,1.914853813474751,0.0,4.123105625617661,0.0
6,5,Combination 2,1.782731119035869,2.2411549084843725,2.560770386208276,0.0,4.123105625617661,0.0
6,5,Combination 3,1.6384919824742168,0.16666666666666666,1.5393446629166316,0.0,4.123105625617661,0.0
6,5,Combination 4,1.6590095867438268,0.37267799624996495,2.2198050846330015,0.0,4.123105625617661,0.0
6,5,Combination 5,1.3538509376029435,0.5393446629166316,2.18046042171637,0.0,4.123105625617661,0.0
6,5,Combination 6,1.781865213154587,2.2446428616512497,2.5592778058388945,0.0,4.123105625617661,0.0
6,5,Combination 7,1.7820563709583408,2.2465622218647585,2.5656174992089227,0.0,4.123105625617661,0.0
6,5,Combination 8,1.7792132779539227,2.248115016895815,2.5652509340264698,0.0,4.123105625617661,0.0
6,5,Combination 9,1.4577379737113252,0.0,1.8090169943749475,0.0,4.123105625617661,0.0
6,5,Combination 10,1.0,0.25,1.75,0.0,4.123105625617661,0.0
6,5,Combination 11,1.0307764064044151,0.5590169943749475,2.7706906325745546,0.0,4.123105625617661,0.0
6,5,Combination 12,1.7811856655320153,2.2500778861423747,2.5641353690969595,0.0,4.123105625617661,0.0
6,5,Combination 13,1.7783337155400445,2.251635518541129,2.5637676619668976,0.0,4.123105625617661,0.0
6,5,Combination 14,1.7785254688509755,2.253560858069945,2.5701271051605086,0.0,4.123105625617661,0.0
6,5,Combination 15,0.0,0.0,2.5,0.0,4.123105625617661,0.0
6,5,Combination 16,1.7776410084011072,2.25710937953657,2.5686544359105445,0.0,4.123105625617661,0.0
