-100,-85,-85,-85,-100,-87,-88,-84,-85,-100,-100,-88,-88,-86,-85,-85,-100,-100,-88,-100,-100,-86,-86,-100,-89,-100,-100,-84,-85,-86,-100,-100,-100,-84,-100,-86,-87,-87,-86,-85,-100,-100,-88,-87,-85,-85,-100,-100,-86,-88,-100,-100,-86,-100,-100,-87,-86,-85,-100,-87,-100,-100,-85,-85,-85,-100,-87,-88,-84,-85,-100,-100,-100,-89,-85,-100,-86,-100,-85,-88,-86,-100,-86,-86,-84,-87,-100,-85,-86,-100,-87,-100,-100,-85,-85,-86,-87,-88,-87,-84,-84,-100,-100,-88,-88,-84,-85,-86,-86,-89,-88,-100,-100,-100,-86,-100,-87,-88,-100,-85,-86,-100,-100,-85,-85,-100,-86,-87,-87,-86,-85,-100,-100,-87,-88,-87,-84,-100,-87,-89,-87,-100,-100,-100,-86,-100,-86,-88,-100,-85,-86,-86,-100,-100,-100,-100,-86,-86,-100,-87,-85,-100,-100,-100,-87,-87,-84,-100,-85,-100,-89,-88,-100,-100,-84,-86,-89,-88,-84,-100,-84,-85,-85,-100,-84,-85,-100,-83,-84,-88,-87,-84,-84,-100,-88,-88,-100,-85,-100,-85,-87,-87,-88,-100,-100,-85,-88,-87,-100,-84,-100,
-100,-78,-78,-84,-84,-84,-84,-84,-78,-100,-100,-100,-85,-84,-79,-83,-84,-84,-84,-84,-100,-100,-84,-84,-84,-84,-79,-79,-83,-100,-100,-100,-78,-80,-83,-83,-84,-84,-79,-78,-100,-100,-85,-85,-100,-100,-100,-83,-83,-84,-84,-100,-83,-83,-84,-84,-84,-100,-78,-83,-100,-100,-78,-79,-84,-83,-84,-84,-84,-78,-100,-100,-84,-84,-85,-78,-79,-83,-85,-84,-84,-100,-100,-83,-84,-85,-78,-100,-79,-84,-84,-100,-78,-78,-78,-84,-100,-84,-85,-78,-100,-100,-100,-84,-84,-78,-78,-84,-83,-84,-84,-100,-100,-83,-83,-85,-84,-78,-78,-78,-84,-100,-100,-78,-80,-78,-100,-83,-84,-100,-79,-79,-100,-100,-83,-78,-78,-78,-83,-83,-84,-84,-100,-83,-83,-83,-84,-84,-79,-78,-84,-100,-100,-100,-79,-79,-100,-84,-84,-84,-78,-78,-100,-100,-84,-84,-78,-78,-84,-83,-83,-84,-100,-100,-84,-100,-83,-84,-84,-79,-83,-85,-100,-100,-79,-100,-100,-83,-84,-84,-84,-78,-78,-100,-84,-84,-84,-78,-100,-83,-84,-84,-84,-100,-100,-82,-83,-83,-84,-79,-100,
-100,-87,-88,-95,-96,-85,-85,-88,-100,-100,-100,-85,-84,-84,-100,-100,-100,-84,-85,-85,-100,-100,-93,-85,-84,-85,-86,-100,-95,-100,-100,-86,-86,-86,-95,-95,-85,-85,-88,-100,-100,-100,-85,-85,-86,-100,-92,-93,-84,-84,-85,-100,-94,-93,-85,-84,-85,-100,-87,-92,-100,-100,-100,-87,-92,-94,-84,-85,-85,-87,-100,-100,-85,-84,-84,-87,-100,-91,-85,-85,-85,-100,-100,-100,-84,-100,-84,-89,-88,-96,-96,-100,-88,-87,-86,-96,-92,-100,-84,-87,-87,-100,-100,-85,-85,-87,-86,-95,-94,-85,-85,-100,-100,-93,-96,-84,-84,-86,-86,-86,-94,-100,-100,-88,-87,-87,-96,-94,-84,-86,-88,-88,-100,-100,-85,-86,-88,-96,-100,-96,-85,-85,-100,-96,-100,-96,-84,-85,-86,-86,-99,-100,-100,-100,-87,-87,-93,-93,-84,-85,-86,-87,-100,-100,-84,-84,-86,-86,-92,-94,-87,-85,-100,-100,-100,-96,-95,-85,-85,-87,-100,-100,-100,-100,-87,-87,-94,-95,-85,-84,-84,-87,-86,-100,-84,-85,-85,-87,-87,-93,-85,-84,-86,-100,-100,-94,-100,-85,-85,-86,-100,
-100,-92,-94,-93,-83,-85,-86,-100,-100,-91,-100,-85,-86,-90,-90,-80,-82,-80,-85,-100,-100,-82,-81,-81,-85,-90,-90,-92,-81,-80,-100,-100,-100,-91,-80,-80,-84,-85,-91,-90,-100,-100,-85,-100,-89,-89,-81,-81,-85,-100,-100,-100,-100,-81,-80,-85,-89,-90,-81,-82,-81,-100,-100,-100,-82,-100,-85,-85,-91,-90,-100,-100,-85,-100,-90,-90,-100,-81,-80,-85,-100,-100,-82,-82,-81,-85,-85,-90,-81,-100,-81,-100,-100,-90,-90,-81,-82,-85,-100,-91,-90,-100,-100,-85,-100,-90,-89,-81,-82,-82,-85,-100,-100,-82,-82,-81,-85,-91,-90,-81,-80,-81,-100,-100,-91,-81,-82,-86,-100,-90,-91,-100,-100,-84,-100,-84,-90,-91,-82,-84,-100,-85,-100,-100,-81,-80,-85,-85,-97,-91,-81,-81,-100,-91,-90,-90,-81,-82,-100,-84,-100,-92,-100,-100,-85,-86,-93,-91,-81,-81,-100,-85,-100,-100,-100,-81,-86,-85,-91,-90,-81,-82,-82,-100,-92,-100,-89,-100,-80,-100,-90,-90,-100,-100,-100,-85,-86,-90,-89,-100,-100,-84,-85,-100,-81,-80,-81,-100,-86,-90,-90,
-100,-77,-100,-100,-80,-77,-77,-77,-76,-100,-100,-76,-77,-77,-77,-77,-81,-77,-77,-77,-100,-100,-80,-76,-77,-76,-100,-76,-81,-80,-100,-77,-100,-100,-82,-100,-77,-77,-77,-77,-100,-100,-77,-76,-76,-100,-82,-80,-77,-76,-100,-100,-81,-80,-77,-77,-76,-77,-81,-81,-100,-100,-77,-76,-82,-81,-76,-77,-77,-100,-100,-100,-77,-77,-77,-77,-77,-80,-77,-76,-100,-100,-81,-80,-80,-76,-76,-100,-80,-100,-80,-100,-77,-100,-78,-80,-80,-77,-77,-77,-77,-100,-100,-77,-77,-77,-77,-82,-100,-77,-77,-100,-100,-100,-81,-76,-76,-100,-77,-100,-81,-100,-100,-77,-77,-100,-81,-80,-77,-77,-76,-100,-100,-76,-77,-77,-77,-82,-100,-82,-76,-77,-100,-100,-100,-80,-76,-77,-76,-77,-81,-81,-100,-100,-77,-77,-80,-81,-77,-77,-76,-100,-100,-100,-77,-77,-76,-76,-80,-80,-77,-77,-77,-100,-100,-81,-77,-77,-77,-77,-77,-80,-100,-100,-76,-76,-100,-80,-77,-77,-77,-76,-78,-100,-100,-77,-77,-77,-76,-79,-80,-77,-77,-100,-100,-81,-80,-77,-77,-76,-76,
-100,-85,-80,-80,-80,-79,-79,-78,-100,-100,-100,-78,-80,-79,-84,-80,-80,-80,-78,-79,-100,-100,-81,-100,-79,-79,-79,-78,-79,-100,-100,-79,-100,-79,-84,-100,-79,-79,-80,-85,-100,-100,-80,-80,-100,-81,-80,-80,-78,-78,-100,-100,-80,-100,-79,-78,-81,-81,-100,-80,-100,-100,-85,-100,-80,-80,-100,-80,-80,-100,-100,-100,-79,-79,-78,-83,-100,-80,-78,-100,-78,-100,-100,-79,-78,-78,-80,-78,-78,-80,-100,-100,-78,-78,-78,-80,-79,-78,-78,-77,-78,-100,-100,-78,-79,-80,-81,-80,-80,-100,-80,-100,-100,-82,-81,-78,-78,-81,-80,-100,-81,-100,-100,-100,-81,-81,-81,-81,-78,-81,-86,-86,-100,-100,-78,-80,-100,-80,-79,-78,-78,-79,-100,-79,-78,-79,-78,-79,-80,-80,-100,-79,-100,-100,-80,-80,-80,-77,-78,-78,-77,-79,-100,-100,-100,-78,-77,-78,-100,-80,-79,-100,-78,-100,-79,-80,-79,-100,-78,-80,-80,-78,-100,-100,-80,-80,-100,-79,-80,-79,-79,-78,-80,-100,-79,-78,-81,-100,-80,-80,-100,-80,-80,-100,-100,-80,-100,-100,-80,-79,-100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
