-100,-96,-95,-100,-82,-100,-83,-100,-96,-95,-100,-100,-83,-95,-97,-100,-100,-82,-83,-100,-100,-82,-82,-82,-83,-100,-96,-96,-82,-82,-100,-100,-96,-98,-82,-81,-83,-100,-94,-95,-100,-100,-100,-83,-96,-96,-100,-100,-83,-83,-100,-100,-83,-82,-82,-82,-96,-95,-100,-82,-83,-100,-100,-94,-100,-100,-83,-100,-83,-96,-100,-100,-83,-100,-83,-95,-100,-82,-83,-83,-100,-100,-100,-82,-100,-83,-100,-96,-95,-100,-82,-100,-100,-94,-95,-82,-83,-100,-83,-96,-94,-100,-100,-100,-83,-94,-96,-82,-82,-83,-100,-83,-100,-100,-83,-84,-100,-83,-96,-95,-83,-100,-100,-96,-97,-95,-82,-83,-83,-96,-100,-96,-100,-100,-83,-94,-96,-95,-82,-100,-83,-85,-100,-100,-82,-100,-83,-83,-100,-96,-100,-82,-100,-100,-97,-96,-82,-82,-83,-83,-97,-100,-100,-100,-100,-83,-97,-100,-97,-100,-100,-100,-100,-100,-82,-82,-100,-84,-100,-97,-95,-82,-82,-100,-100,-96,-96,-82,-82,-83,-100,-95,-97,-100,-100,-84,-82,-96,-96,-82,-100,-82,-100,-100,-100,-83,-83,-83,-83,-83,-100,
-100,-100,-100,-84,-84,-84,-84,-100,-100,-91,-100,-100,-84,-100,-100,-100,-84,-100,-84,-100,-100,-83,-84,-100,-84,-100,-100,-83,-85,-84,-100,-100,-100,-84,-84,-82,-84,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-84,-83,-84,-100,-100,-84,-84,-84,-84,-100,-100,-84,-83,-84,-100,-90,-100,-83,-84,-84,-100,-100,-100,-100,-100,-83,-83,-83,-100,-84,-84,-83,-100,-100,-100,-100,-84,-84,-100,-84,-100,-100,-84,-84,-100,-100,-100,-100,-84,-84,-83,-83,-96,-100,-100,-100,-83,-83,-84,-100,-85,-84,-83,-82,-83,-100,-84,-84,-83,-84,-83,-100,-100,-84,-100,-100,-100,-100,-100,-85,-84,-100,-84,-95,-100,-100,-100,-100,-83,-100,-100,-85,-84,-83,-83,-83,-100,-84,-85,-83,-83,-84,-100,-84,-84,-100,-100,-100,-100,-100,-84,-83,-83,-100,-100,-100,-100,-100,-100,-83,-100,-92,-84,-83,-100,-83,-100,-100,-85,-85,-83,-100,-100,-100,-84,-85,-100,-100,-100,-85,-84,-85,-83,-84,-100,-100,-100,-100,-83,-83,-100,-94,-84,-84,-84,-83,-100,-100,-100,-85,-84,-84,-100,-100,
-100,-71,-71,-76,-75,-75,-75,-75,-71,-100,-100,-74,-74,-75,-71,-75,-76,-75,-74,-75,-100,-100,-75,-75,-75,-75,-71,-71,-75,-100,-100,-100,-72,-100,-75,-76,-75,-74,-71,-70,-100,-100,-75,-75,-75,-100,-76,-76,-75,-75,-75,-100,-76,-75,-100,-75,-75,-71,-71,-75,-100,-100,-100,-71,-71,-75,-75,-75,-75,-71,-72,-100,-100,-75,-75,-71,-71,-75,-100,-75,-75,-100,-100,-75,-76,-75,-75,-71,-71,-75,-100,-100,-100,-72,-71,-71,-100,-75,-75,-71,-71,-71,-100,-74,-75,-71,-71,-71,-76,-76,-74,-100,-100,-76,-76,-76,-75,-71,-71,-71,-75,-76,-100,-100,-71,-71,-76,-76,-75,-100,-71,-72,-100,-100,-75,-75,-100,-71,-76,-76,-75,-75,-100,-100,-76,-75,-76,-75,-71,-71,-76,-76,-76,-100,-72,-71,-76,-76,-75,-100,-75,-71,-100,-100,-75,-74,-100,-72,-76,-76,-76,-74,-100,-100,-100,-76,-76,-75,-75,-71,-71,-76,-76,-100,-100,-71,-72,-76,-76,-100,-75,-71,-71,-100,-100,-75,-75,-75,-71,-100,-76,-75,-100,-75,-100,-100,-76,-75,-75,-75,-100,
-100,-86,-100,-88,-87,-82,-82,-82,-100,-100,-100,-83,-100,-82,-100,-100,-100,-82,-83,-83,-100,-100,-89,-100,-82,-82,-100,-86,-88,-100,-100,-100,-100,-100,-88,-88,-82,-82,-100,-87,-100,-100,-82,-82,-87,-100,-89,-100,-83,-82,-100,-100,-88,-100,-82,-82,-86,-87,-100,-89,-100,-100,-100,-86,-88,-88,-100,-82,-100,-86,-100,-100,-100,-83,-86,-100,-86,-88,-88,-82,-82,-100,-88,-100,-88,-83,-82,-86,-87,-88,-88,-100,-100,-86,-86,-89,-100,-82,-82,-86,-100,-100,-100,-83,-82,-100,-86,-100,-100,-83,-100,-100,-100,-88,-88,-100,-82,-82,-86,-88,-88,-88,-100,-100,-86,-100,-100,-88,-82,-100,-86,-100,-100,-83,-100,-83,-86,-86,-88,-88,-82,-82,-100,-100,-88,-100,-87,-82,-86,-85,-100,-89,-100,-100,-86,-100,-88,-88,-82,-82,-82,-100,-100,-100,-100,-82,-82,-86,-100,-88,-82,-82,-82,-100,-100,-89,-88,-100,-82,-100,-100,-88,-88,-100,-86,-100,-100,-88,-88,-82,-82,-100,-100,-100,-100,-82,-82,-100,-86,-100,-88,-82,-82,-100,-100,-87,-100,-82,-82,-100,-100,
-100,-82,-82,-80,-80,-80,-86,-82,-82,-100,-100,-86,-100,-86,-82,-79,-80,-80,-86,-100,-100,-80,-80,-80,-86,-86,-82,-82,-80,-80,-100,-100,-82,-82,-80,-80,-86,-86,-82,-100,-100,-100,-86,-86,-82,-82,-80,-80,-86,-86,-100,-100,-100,-80,-100,-86,-82,-82,-80,-81,-100,-100,-82,-100,-82,-80,-87,-86,-82,-82,-82,-100,-100,-86,-86,-82,-82,-81,-80,-100,-86,-100,-100,-82,-80,-100,-86,-82,-82,-79,-80,-100,-100,-81,-83,-80,-80,-86,-100,-82,-100,-82,-100,-88,-90,-82,-82,-100,-80,-100,-87,-100,-100,-80,-80,-80,-87,-82,-82,-82,-80,-79,-100,-100,-82,-79,-80,-79,-86,-87,-82,-82,-100,-100,-88,-87,-82,-82,-79,-79,-87,-100,-100,-100,-80,-79,-80,-86,-82,-82,-80,-80,-80,-100,-82,-82,-80,-80,-80,-100,-87,-82,-100,-100,-87,-100,-86,-100,-80,-80,-79,-86,-100,-100,-100,-80,-80,-100,-100,-82,-100,-79,-100,-100,-100,-82,-82,-80,-80,-88,-87,-82,-100,-100,-100,-100,-87,-87,-82,-100,-80,-100,-87,-87,-100,-100,-100,-100,-87,-82,-100,
-100,-83,-100,-91,-95,-86,-87,-85,-100,-100,-100,-87,-88,-87,-84,-100,-89,-100,-88,-100,-100,-100,-89,-87,-86,-84,-84,-100,-90,-100,-100,-84,-84,-100,-90,-87,-100,-84,-100,-84,-100,-100,-84,-84,-84,-100,-87,-88,-100,-85,-100,-100,-90,-90,-87,-87,-83,-100,-83,-89,-100,-100,-84,-84,-100,-88,-100,-100,-100,-83,-83,-100,-100,-86,-87,-84,-83,-100,-88,-86,-100,-100,-92,-100,-88,-86,-85,-82,-82,-100,-90,-100,-100,-100,-83,-90,-100,-85,-100,-83,-83,-100,-100,-86,-100,-100,-83,-89,-89,-100,-87,-100,-100,-90,-100,-89,-86,-100,-84,-89,-89,-90,-100,-100,-84,-100,-89,-89,-86,-86,-84,-100,-100,-100,-84,-86,-85,-84,-87,-89,-87,-86,-100,-100,-86,-89,-89,-86,-83,-83,-90,-90,-100,-100,-100,-100,-89,-89,-84,-85,-84,-100,-100,-100,-100,-84,-84,-100,-100,-88,-100,-100,-84,-100,-100,-87,-87,-100,-85,-100,-100,-88,-89,-100,-83,-100,-100,-89,-89,-86,-85,-82,-100,-100,-100,-100,-85,-100,-85,-87,-89,-86,-87,-100,-100,-88,-87,-100,-85,-84,-84,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
