ID,RSSI
1,-44
2,-43
3,-44
4,-44
5,-45
6,-49
7,-45
8,-46
9,-43
10,-45
11,-43
12,-43
13,-45
14,-48
15,-47
16,-45
17,-44
18,-44
19,-44
20,-42
21,-44
22,-32
23,-46
24,-44
25,-46
26,-41
27,-42
28,-44
29,-45
30,-45
31,-45
32,-46
33,-45
34,-45
35,-45
36,-44
37,-44
38,-43
39,-45
